timestamp,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_load_forecast_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_load_forecast_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_load_forecast_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_load_forecast_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual,DK_load_actual_entsoe_transparency,DK_load_forecast_entsoe_transparency,DK_solar_capacity,DK_solar_generation_actual,DK_wind_capacity,DK_wind_generation_actual,DK_wind_offshore_capacity,DK_wind_offshore_generation_actual,DK_wind_onshore_capacity,DK_wind_onshore_generation_actual,DK_1_load_actual_entsoe_transparency,DK_1_load_forecast_entsoe_transparency,DK_1_price_day_ahead,DK_1_solar_generation_actual,DK_1_wind_generation_actual,DK_1_wind_offshore_generation_actual,DK_1_wind_onshore_generation_actual,DK_2_load_actual_entsoe_transparency,DK_2_load_forecast_entsoe_transparency,DK_2_price_day_ahead,DK_2_solar_generation_actual,DK_2_wind_generation_actual,DK_2_wind_offshore_generation_actual,DK_2_wind_onshore_generation_actual,FR_load_actual_entsoe_transparency,FR_load_forecast_entsoe_transparency,FR_solar_generation_actual,FR_wind_onshore_generation_actual,IT_NORD_FR_price_day_ahead,year,month,day,hour,dayofweek,quarter,is_weekend
2020-03-12 03:00:00+00:00,50020.0,50260.0,50508.0,0.0,0.0,50452.0,42166.0,0.609,5742.0,5332.0,0.8946,44710.0,36835.0,0.5724,9273.0,8959.0,0.0,14199.0,986.0,13213.0,19530.0,19224.0,0.0,8735.0,15123.0,16065.0,0.0,17993.0,4345.0,13648.0,6094.0,6012.0,0.0,1239.0,3409.45,3405.0,547.0,0.0,6091.0,3893.56,1701.0,757.94,4390.0,3135.62,2155.1,2144.0,-0.39,0.0,3014.88,397.22,2617.66,1254.35,1261.0,-0.39,0.0,878.68,360.72,517.96,47789.0,47700.0,0.0,9664.0,79.8,2020,3,12,3,3,1,0
2018-12-19 10:00:00+00:00,73942.0,69229.0,47225.0,2104.0,0.0446,48802.0,19145.0,0.3923,5027.0,4853.0,0.9654,43775.0,14292.0,0.3265,14652.0,12409.0,509.0,7061.0,967.0,6095.0,27206.0,25163.0,669.0,2478.0,22697.0,22821.0,736.0,9207.0,3887.0,5321.0,9387.0,8836.0,190.0,398.0,5167.26,5182.2,547.0,22.5,5663.0,3097.82,1294.0,993.0,4369.0,2104.82,3162.37,3182.9,55.29,12.7,2334.69,657.23,1677.46,2004.89,1999.3,55.29,9.8,763.13,335.77,427.36,72586.0,73200.0,1737.0,4887.0,79.8,2018,12,19,10,2,4,0
2015-02-20 18:00:00+00:00,66352.0,66802.0,37377.0,0.0,0.0,28401.0,11645.0,0.41,859.0,45.0,0.0527,27542.0,11599.0,0.4212,10504.0,10251.0,0.0,5270.0,15.0,5255.0,25459.0,25579.0,0.0,3205.0,21660.0,22130.0,0.0,3001.0,30.0,2971.0,8729.0,8842.0,0.0,168.0,4672.86,4678.1,492.0,0.01,4653.0,1143.5,1264.0,619.77,3389.0,523.73,2708.39,2688.0,26.91,0.01,752.74,360.67,392.07,1964.47,1990.1,26.91,0.0,390.76,259.1,131.66,74712.0,75750.0,0.0,4959.0,65.62,2015,2,20,18,4,1,0
2020-08-06 04:00:00+00:00,48037.0,48858.0,50508.0,846.0,0.0,50452.0,8696.0,0.609,5742.0,1777.0,0.8946,44710.0,6919.0,0.5724,10143.0,10320.0,337.0,2213.0,176.0,2037.0,17817.0,18888.0,131.0,1606.0,13957.0,13454.0,302.0,4613.0,1601.0,3012.0,6121.0,6196.0,76.0,264.0,3417.26,3367.0,547.0,0.0,6091.0,1749.22,1701.0,825.65,4390.0,923.57,2210.11,2159.0,32.0,0.0,1650.35,811.74,838.61,1207.15,1208.0,32.03,0.0,98.87,13.91,84.96,36447.0,35850.0,152.0,1336.0,79.8,2020,8,6,4,3,3,0
2019-07-24 11:00:00+00:00,66474.0,65598.0,49766.0,28379.0,0.5702,49486.0,3086.0,0.0624,5278.0,1937.0,0.3669,44208.0,1150.0,0.026,11749.0,12795.0,7565.0,132.0,2.0,131.0,24982.0,24971.0,6407.0,190.0,20237.0,19066.0,10696.0,2748.0,1935.0,814.0,9507.0,8767.0,3711.0,16.0,4051.2,4035.2,547.0,709.49,6074.0,212.25,1701.0,162.38,4373.0,49.87,2462.02,2443.3,44.08,463.47,191.18,162.34,28.84,1589.18,1591.9,44.08,246.02,21.07,0.04,21.03,58718.0,59150.0,6225.0,799.0,79.8,2019,7,24,11,2,3,0
2019-11-19 09:00:00+00:00,71784.0,69114.0,50415.0,6177.0,0.1225,50234.0,18684.0,0.3719,5716.0,5023.0,0.8788,44517.0,13661.0,0.3069,13924.0,13161.0,2262.0,8240.0,1010.0,7230.0,27160.0,26340.0,1012.0,1071.0,21255.0,20249.0,2362.0,9364.0,4014.0,5350.0,9445.0,9364.0,540.0,10.0,4999.5,4956.5,547.0,36.78,6074.0,1628.42,1701.0,1161.95,4373.0,466.47,3085.51,3059.0,41.7,23.34,1224.76,875.78,348.98,1913.99,1897.5,41.7,13.44,403.66,286.17,117.49,74451.0,75950.0,1996.0,1652.0,79.8,2019,11,19,9,1,4,0
2019-12-10 21:00:00+00:00,61356.0,58739.0,50471.0,0.0,0.0,50319.0,34025.0,0.6762,5723.0,4793.0,0.8375,44596.0,29232.0,0.6555,11902.0,10790.0,0.0,10486.0,897.0,9589.0,23184.0,22731.0,0.0,6640.0,18434.0,17446.0,0.0,16507.0,3896.0,12611.0,7835.0,7771.0,0.0,392.0,4144.07,4275.0,547.0,0.0,6074.0,5414.76,1701.0,1492.81,4373.0,3921.95,2574.37,2612.0,29.78,0.0,4418.86,1123.72,3295.14,1569.7,1663.0,29.78,0.0,995.9,369.09,626.81,67400.0,66400.0,0.0,8736.0,79.8,2019,12,10,21,1,4,0
2018-08-21 22:00:00+00:00,47269.0,45907.0,45386.0,0.0,0.0,46476.0,6906.0,0.1486,3787.0,747.0,0.1972,42688.0,6159.0,0.1443,9398.0,7975.0,0.0,1604.0,1.0,1603.0,17667.0,17496.0,0.0,936.0,14274.0,15099.0,0.0,4017.0,746.0,3271.0,5930.0,5338.0,0.0,349.0,2813.38,2749.1,547.0,0.0,5654.0,485.84,1294.0,179.6,4359.0,306.24,1785.36,1757.8,52.42,0.0,416.83,153.05,263.78,1028.02,991.3,52.42,0.0,69.01,26.55,42.46,42962.0,44150.0,0.0,1469.0,79.8,2018,8,21,22,1,3,0
2018-10-15 19:00:00+00:00,57673.0,58791.0,46168.0,0.0,0.0,48094.0,5980.0,0.1243,4827.0,1007.0,0.2086,43267.0,4973.0,0.1149,10778.0,9426.0,0.0,3864.0,383.0,3481.0,21657.0,22469.0,0.0,314.0,17798.0,19095.0,0.0,1709.0,623.0,1085.0,7439.0,7802.0,0.0,92.0,3653.41,3719.0,547.0,0.02,5662.0,602.09,1294.0,309.45,4368.0,292.64,2230.43,2278.1,70.49,0.02,380.87,181.81,199.06,1422.98,1440.9,70.49,0.0,221.22,127.64,93.58,47206.0,49600.0,0.0,2226.0,79.8,2018,10,15,19,0,4,0
2015-04-19 14:00:00+00:00,41917.0,45699.0,37549.0,17457.0,0.4649,29067.0,1506.0,0.0518,1217.0,78.0,0.0638,27850.0,1429.0,0.0513,5792.0,7008.0,3360.0,607.0,0.0,607.0,17449.0,17856.0,4611.0,409.0,13575.0,15822.0,6719.0,375.0,78.0,298.0,5101.0,5013.0,2767.0,116.0,3284.44,3305.9,499.0,302.73,4655.0,302.06,1264.0,83.81,3391.0,218.25,1890.58,1898.1,23.27,237.77,247.68,77.69,169.99,1393.86,1407.8,23.27,64.96,54.38,6.12,48.26,39090.0,38600.0,2053.0,2543.0,43.9,2015,4,19,14,6,2,1
